Experiment,year,site,start_date,new_start_date,end_date,new_end_date,operation,Column
LongTermLiming,1968,stackyard,13-Jun-68,13/06/1968,,,rotary ridged,
LongTermLiming,1968,stackyard,12-Jul-68,12/07/1968,,,Fungicide applied,
LongTermLiming,1968,stackyard,18-Jul-68,18/07/1968,,,Fungicide applied,
LongTermLiming,1968,stackyard,30-Jul-68,30/07/1968,,,Fungicide applied,
LongTermLiming,1968,stackyard,12-Jul-68,12/07/1968,,,Insecticide applied,
LongTermLiming,1968,stackyard,U4-Sept-1967,04/09/1968,,,sprayed with undiluted BOV at 15 gals,
LongTermLiming,1968,stackyard,02-Oct-67,02/10/1967,,,Lifted,
LongTermLiming,1969,sawyers,31-Jan-69,31/01/1969,,,ploughed,
LongTermLiming,1969,sawyers,16-Apr-69,16/04/1969,26-Apr-69,,rotary cultivated,
LongTermLiming,1969,sawyers,23-May-69,23/05/1969,,,rotary cultivated,
LongTermLiming,1969,sawyers,03-Jul-69,03/07/1969,,,rotary cultivated,
LongTermLiming,1969,sawyers,05-Aug-69,05/08/1969,,,Subsoiled 28 inches apart 20 inches deep,
LongTermLiming,1969,sawyers,08-Aug-69,08/08/1969,,,Deep-tine cultivated,
LongTermLiming,1969,stackyard,18-Oct-68,18/10/1968,,,Deep-tine cultivated,
LongTermLiming,1969,stackyard,07-Feb-69,07/02/1969,,,ploughed,
LongTermLiming,1969,stackyard,08-Mar-69,08/03/1969,,,ploughed,
LongTermLiming,1969,stackyard,17-Apr-69,17/04/1969,,,rotary cultivated,
LongTermLiming,1969,stackyard,22-May-69,22/05/1969,,,"l May,",
LongTermLiming,1969,stackyard,17-Jun-69,17/06/1969,,,"l May,",
LongTermLiming,1969,stackyard,28-Jun-69,28/06/1969,,,Deep-tine cultivated,
LongTermLiming,1969,stackyard,01-Jul-69,01/07/1969,,,Subsoiled 56 inches apart inches deep,
LongTermLiming,1970,sawyers,30-Dec-69,30/12/1969,,,ploughed,
LongTermLiming,1970,sawyers,26-Mar-70,26/03/1970,,,"P, K applied",
LongTermLiming,1970,sawyers,28-Mar-70,28/03/1970,,,seed combine drilled at 140 lb,
LongTermLiming,1970,sawyers,18-May-70,18/05/1970,,,Weedkiller applied,
LongTermLiming,1970,sawyers,15-Aug-70,15/08/1970,,,combine harvested,
LongTermLiming,1970,stackyard,30-o-1970,30/o/1970,08-Nov-69,,ploughed,
LongTermLiming,1970,stackyard,25-Mar-70,25/03/1970,,,N applied,
LongTermLiming,1970,stackyard,26-Mar-70,26/03/1970,,,"seed drilled at 135 lb per acre, P, K applied",
LongTermLiming,1970,stackyard,18-May-70,18/05/1970,,,Weedkiller applied,
LongTermLiming,1970,stackyard,19-Aug-70,19/08/1970,,,combine harvested,
LongTermLiming,1971,sawyers,22-Sep-70,22/09/1970,,,paraquat applied,
LongTermLiming,1971,sawyers,28-Oct-70,28/10/1970,,,ploughed,
LongTermLiming,1971,sawyers,03-Mar-71,03/03/1971,,,"P, K applied",
LongTermLiming,1971,sawyers,10-Mar-71,10/03/1971,,,seed combine drilled at 157 kg,
LongTermLiming,1971,sawyers,04-May-71,04/05/1971,,,'Oxytril P' applied,
LongTermLiming,1971,sawyers,16-Aug-71,16/08/1971,,,combine harvested,
LongTermLiming,1971,stackyard,16-Sep-70,16/09/1970,,,paraquat applied,
LongTermLiming,1971,stackyard,28-Oct-70,28/10/1970,,,ploughed,
LongTermLiming,1971,stackyard,17-Mar-71,17/03/1971,,,"N, P, K applied h Mar, seed drilled at 157 kg",
LongTermLiming,1971,stackyard,17-May-71,17/05/1971,,,Weedkiller applied,
LongTermLiming,1971,stackyard,17-Aug-71,17/08/1971,,,combine harvested,
LongTermLiming,1972,sawyers,09-Sep-71,09/09/1971,,,paraquat applied,
LongTermLiming,1972,sawyers,11-Nov-71,11/11/1971,,,ploughed,
LongTermLiming,1972,sawyers,20-Mar-72,20/03/1972,,,"P, K applied, seed combine drilled",
LongTermLiming,1972,sawyers,17-May-72,17/05/1972,,,'Tetroxone' applied,
LongTermLiming,1972,sawyers,03-Jul-72,03/07/1972,,,"plots cut, carted, because the crop hand failed, plots were very weedy., plots rotary cultivated twice",
LongTermLiming,1972,sawyers,2h-Aug-1972,2h/08/1972,,,ll July. combine harvested,
LongTermLiming,1972,stackyard,09-Sep-71,09/09/1971,,,paraquat applied,
LongTermLiming,1972,stackyard,27-Oct-71,27/10/1971,,,ploughed,
