record_id,source_id,sequence,Experiment,harvest_year,plots,start_date_orig,start date,end_date_orig,end_date,primary_activity,flag,record,crop,form,purpose,rate,unit,water_volume,water_volume_unit,method,orig_record
,178,,R/BK/1,1949,cropped sections,,22/10/1948,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,179,,R/BK/1,1949,cropped sections,,11/11/1948,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,182,,R/BK/1,1949,cropped sections,,13/11/1948,,15/11/1948,AGRO_01000020,2,Harrowed in,,,c_3498,,,,,,Harrowed in
,183,,R/BK/1,1949,cropped sections,,14/04/1949,,,AGRO_00000004,2,Harrowed,,,c_3498,,,,,,Harrowed
,185,,R/BK/1,1949,cropped sections,,27/04/1949,,,AGRO_01000000,2,Nitrogenous fertilisers applied,,,c_5195,,,,,,Nitrogenous fertilisers applied
,186,,R/BK/1,1949,cropped sections,,17/05/1949,,23/05/1949,AGRO_00000023:AGRO_00000217,2,Weeds hand pulled,,,,,,,,,Weeds hand pulled
,188,,R/BK/1,1949,cropped sections,,27/06/1949,,06/07/1949,AGRO_00000023:AGRO_00000217,2,Wild oats hand pulled various days,,,,,,,,,Wild oats hand pulled various days
,189,,R/BK/1,1949,cropped sections,,25/07/1949,,27/07/1949,AGRO_00000023:AGRO_00000217,2,Wild oats hand pulled various days,,,,,,,,,Wild oats hand pulled various days
,191,,R/BK/1,1949,fallow sections,,02/09/1948,,16/09/1948,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,192,,R/BK/1,1949,fallow sections,,22/10/1948,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,193,,R/BK/1,1949,fallow sections,,24/01/1949,,31/01/1949,AGRO_00000002,2,Ploughed,,,,,,,,,Ploughed
,194,,R/BK/1,1949,fallow sections,,22/03/1949,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,195,,R/BK/1,1949,fallow sections,,14/04/1949,,,AGRO_00000002,2,Spring-tine harrowed,,,spring-tine harrow,,,,,,Springtine harrowed
,196,,R/BK/1,1949,fallow sections,,30/05/1949,,,AGRO_00000110:AGRO_00000220,2,Thistles cut,,,,,,,,,Thistles cut
