source_id,experiment,year,cropped section,new start date,new end date,operation,operation type,Amount,Units
221,Broadbalk,1950,fallow sections,30/05/1950,,Thistlebarred,,,
222,Broadbalk,1950,fallow sections,02/08/1950,03/08/1950,Ploughed,,,
223,Broadbalk,1950,fallow sections,08/08/1950,,Springtine harrowed,,,
224,Broadbalk,1950,fallow sections,11/08/1950,,"Springtined, disced and ring rolled",,,
225,Broadbalk,1951,cropped sections,24/08/1950,,Ploughed all except dung plots,,,
226,Broadbalk,1951,cropped sections,08/09/1950,,Dung applied and ploughed in,,,
227,Broadbalk,1951,cropped sections,23/10/1950,,Autumn application of artificials,,,
228,Broadbalk,1951,cropped sections,25/10/1950,,Seed drilled at 3 bushels per acre,,,
229,Broadbalk,1951,cropped sections,11/04/1951,,Spring application of nitrogenous fertilisers,,,
230,Broadbalk,1951,cropped sections,08/05/1951,,Second dressing of nitrate of soda applied to plot 16,,,
231,Broadbalk,1951,cropped sections,21/08/1951,,Harvested,,,
232,Broadbalk,1951,fallow sections,24/08/1950,,Ploughed,,,
233,Broadbalk,1951,fallow sections,24/04/1951,,Ploughed,,,
234,Broadbalk,1951,fallow sections,09/07/1951,,Ploughed,,,
235,Exhaustion Land,1949,all plots,03/01/1949,10/01/1949,ploughed,,,
236,Exhaustion Land,1949,all plots,22/03/1949,,Springtined,,,
237,Exhaustion Land,1949,all plots,23/03/1949,,Drilled,,,
238,Exhaustion Land,1949,all plots,24/03/1949,,"Sulphate of ammonia applied, harrowed in",,,
239,Exhaustion Land,1949,all plots,01/04/1949,,Rolled,,,
240,Exhaustion Land,1949,all plots,09/08/1949,,Harvested,,,
241,Exhaustion Land,1949,Variety,,,Plumage Archer,,,
242,Exhaustion Land,1950,all plots,30/08/1949,01/09/1949,ploughed,,,
243,Exhaustion Land,1950,all plots,14/10/1949,,Springtined,,,
244,Exhaustion Land,1950,all plots,16/12/1949,,ploughed,,,
245,Exhaustion Land,1950,all plots,08/03/1950,,Springtined,,,
246,Exhaustion Land,1950,all plots,11/03/1950,,Springtined,,,
247,Exhaustion Land,1950,all plots,14/03/1950,,Harrowed,,,
248,Exhaustion Land,1950,all plots,15/03/1950,,Sulphate of ammonia drilled,,,
249,Exhaustion Land,1950,all plots,15/03/1950,,"seed drilled, harrowed in, rolled",,,
250,Exhaustion Land,1950,all plots,30/05/1950,,Thistles cut,,,
251,Exhaustion Land,1950,all plots,07/08/1950,,Harvested,,,
252,Exhaustion Land,1950,variety ,,,Plumage Archer,,,
253,Exhaustion Land,1951,all plots,29/08/1950,,ploughed,,,
254,Exhaustion Land,1951,all plots,27/01/1951,,ploughed,,,
