experiment,year,site,type,treatment,amount,orig_treatment,op_join,tank_mixture
CS326,1989,great knott,weedkiller,fluroxypyr,0.15 kg in 200 l,metsulfuron-methyl at 6.0 g with fluroxypyr at 0.15 kg in 200 l,"metsulfuron-methyl g, fluroxypyr",1
CS326,1989,great knott,fungicide,chlorothalonil,1.0 kg in 200 l,chlorothalonil at 1.0 kg in 200 l,chlorothalonil,1
CS326,1989,great knott,fungicide,propiconazole,0.12 kg,propiconazole at 0.12 kg with tridemorph at 0.52 kg in 200 l,"propiconazole , tridemorph",1
CS326,1989,great knott,fungicide,tridemorph,0.52 kg in 200 l,propiconazole at 0.12 kg with tridemorph at 0.52 kg in 200 l,"propiconazole , tridemorph",1
CS326,1989,far field,manures,(0:18:36),920 kg,(0:18:36) at 920 kg,( : : ),1
CS326,1989,far field,manures,nitram,120 kg,nitram at 120 kg,nitram,1
CS326,1989,far field,weedkiller,glyphosate,1.1 kg in 220 l,glyphosate at 1.1 kg in 220 l,glyphosate,1
CS326,1989,far field,weedkiller,paraquat,0.80 kg ion in 220 l,paraquat at 0.80 kg ion in 220 l,paraquat,1
CS326,1989,far field,weedkiller,isoproturon,1.5 kg in 220 l,isoproturon at 1.5 kg in 220 l,isoproturon,1
CS326,1989,far field,fungicide,chlorothalonil,1.0 kg in 220 l,chlorothalonil at 1.0 kg in 220 l,chlorothalonil,1
CS326,1989,far field,fungicide,propiconazole,0.12 kg,propiconazole at 0.12 kg with tridemorph at 0.52 kg in 220 l,"propiconazole , tridemorph",1
CS326,1989,far field,fungicide,tridemorph,0.52 kg in 220 l,propiconazole at 0.12 kg with tridemorph at 0.52 kg in 220 l,"propiconazole , tridemorph",1
CS326,1990,great knott,manures,nitram,120 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1990,great knott,manures,2nd nitram,580 kg,nitram at 120 kg followed by 580 kg,nitram,1
CS326,1990,great knott,weedkiller,paraquat,0.40 kg ion,"paraquat at 0.40 kg ion with a wetting agent, 'enhance' at 100 ml, in 200 l","paraquat , a wetting agent, 'enhance' ml,",1
CS326,1990,great knott,weedkiller,a wetting agent,,"paraquat at 0.40 kg ion with a wetting agent, 'enhance' at 100 ml, in 200 l","paraquat , a wetting agent, 'enhance' ml,",1
CS326,1990,great knott,weedkiller,'enhance',100 ml,"paraquat at 0.40 kg ion with a wetting agent, 'enhance' at 100 ml, in 200 l","paraquat , a wetting agent, 'enhance' ml,",1
CS326,1990,great knott,weedkiller,in 200 l,,"paraquat at 0.40 kg ion with a wetting agent, 'enhance' at 100 ml, in 200 l","paraquat , a wetting agent, 'enhance' ml,",1
CS326,1990,great knott,weedkiller,chlortoluron,3.0 kg,chlortoluron at 3.0 kg with cyanazine at 0.75 kg in 400 l,"chlortoluron , cyanazine",1
CS326,1990,great knott,weedkiller,cyanazine,0.75 kg in 400 l,chlortoluron at 3.0 kg with cyanazine at 0.75 kg in 400 l,"chlortoluron , cyanazine",1
